ID,Question ID,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explain,Difficulty,Publish,Created At,Updated At
215803,4645,রবীন্দ্রনাথের “গীতাঞ্জলী“ কাব্যগ্রন্থের ইংরেজি অনুবাদ করেন কে?,ক) টি.এস. এলিয়ট,খ) ডব্লিউ বি. ইয়েটস,গ) রবীন্দ্রনাথ ঠাকুর,ঘ) বুদ্ধদেব বসু,,3,"গীতাঞ্জলি রবীন্দ্রনাথ ঠাকুরের ১৫৭ টি গানের সংকলন।<br />- গানগুলি ১৯০৮ ও ১৯০৯ সালে রচিত এবং ১৯১০ সালে গ্রন্থাকারে প্রকাশিত।<br />- ১৯১২ সালে গীতাঞ্জলি কাব্যের ইংরেজি অনুবাদ Song Offerings প্রকাশিত হয়।<br />- <strong>রবীন্দ্রনাথ ঠাকুর নিজেই এই গ্রন্থের ইংরেজি অনুবাদ করেন।</strong><br />- Song Offerings - গ্রন্থের ভূমিকা লিখেছিলেন আইরিশ কবি ও নাট্যকার ইয়েটস্&zwnj;।<br />- ইংরেজি অনুবাদ পরবর্তীতে সম্পাদনা করেন - ডব্লিউ বি. ইয়েটস্&zwnj;।<br />- ১৯১৩ সালে Song Offerings গ্রন্থের জন্য তিনি প্রথম এশীয় হিসাবে সাহিত্যে নোবেল পুরস্কারে ভূষিত হয়েছিলেন।<br /><br />উৎস: বাংলা ভাষা ও সাহিত্য জিজ্ঞাসা, ড. সৌমিত্র শেখর, ব্রিটানিকা ও বাংলাপিডিয়া।",1,False,2022-12-05 18:04:28.929466+00:00,2022-12-07 07:59:50.193891+00:00
216075,4553,"রবীন্দ্রনাথ ঠাকুর কয়টি ছদ্মনাম ব্যবহার করেছেন? ","ক) ৩টি ","খ) ৫টি 
",গ) ৭টি,"ঘ) ৯টি ",,4,"রবীন্দ্রনাথ ঠাকুর মোট <strong>নয়টি</strong> ছদ্মনামে লিখেন।<br />এগুলো হলো- <br />১. ভানুসিংহ ঠাকুর, <br />২. অকপটচন্দ্র ভাস্কর, <br />৩. আন্নাকালী পাকড়াশী, <br />৪. দিকশূন্য ভট্টাচার্য, <br />৫. নবীন কিশোর শর্মণঃ, <br />৬. ষষ্ঠীচরণ দেবশর্মাঃ, <br />৭. বাণী বিনোদ বিদ্যাবিনোদ,<br />৮. শ্রীমতি মধ্যমা ও <br />৯. শ্রীমতি কনিষ্ঠা।&nbsp;<br /><br />উৎস: বাংলা ভাষা ও সাহিত্য জিজ্ঞাসা, ড সৌমিত্র শেখর।",1,True,2022-12-07 14:43:45.737561+00:00,2022-12-09 17:59:54.687822+00:00
219749,4505,"রবীন্দ্রনাথ ঠাকুরের 'সোনার তরী' কবিতাটি কোন ছন্দে রচিত? ",ক) মাত্রাবৃত্ত,খ) স্বরবৃত্ত,গ) অক্ষরবৃত্ত,ঘ) অমিত্রাক্ষর,,1,"&bull; 'সোনার তরী' রবীন্দ্রনাথ ঠাকুরের 'সোনার তরী' কাব্যগ্রন্থের নাম-কবিতা।<br />এ কবিতায় নিবিড়ভাবে মিশে আছে কবির জীবন দর্শন। সোনার তরী<strong> 'মাত্রাবৃত্ত' ছন্দে রচিত।</strong><br />এর অধিকাংশ পঙক্তি ৮+৫ মাত্রার পূর্ণপর্বে বিন্যস্ত।<br />রবীন্দ্রনাথ ঠাকুরের 'সোনার তরী' কাব্যগ্রন্থটি ১৮৯৪ সালে প্রকাশিত হয়।&nbsp;<br />এই গ্রন্থের উল্লেখযোগ্য কবিতা কুষ্টিয়ার শিলাইদহে বসে লেখা হয়েছে।<br /><br />&bull;&nbsp;এই গ্রন্থের উল্লেখযোগ্য কবিতাগুলো হলো :<br />- সোনার তরী,<br />- বিম্ববতী,<br />- বর্ষাযাপন,<br />- সুপ্তোত্থিতা,<br />- হিং টিং ছট,<br />- বসুন্ধরা,<br />- নিরুদ্দেশ যাত্রা।<br /><br />উৎস: উচ্চ মাধ্যমিক সাহিত্যপাঠ (২০২০-২১ সংস্করণ)",1,True,2022-12-19 06:49:25.653272+00:00,2022-12-21 17:58:45.773314+00:00
219702,4485,‘ভানুসিংহ ঠাকুর’ কার ছদ্মনাম?,ক) অবনীন্দ্রনাথ ঠাকুর,খ) দীনবন্ধু মিত্র,গ) রবীন্দ্রনাথ ঠাকুর,ঘ) প্যারীচাঁদ মিত্র,,3,"আধুনিক কবিদের মধ্যে রবীন্দ্রনাথ ঠাকুর পদাবলী রচনা করেছেন।<br />- পদাবলী নিয়ে তার রচিত কাব্যের নাম 'ভানুসিংহের পদাবলী'। এর বেশির ভাগ পদই ব্রজবুলি ভাষায় রচিত।<br />- গ্রন্থটি ১৮৮৪ সালে প্রকাশিত হয়।<br />- রবীন্দ্রনাথ ঠাকুরের 'ভানুসিংহ ঠাকুরের পদাবলী'র অন্তর্গত লেখা- 'মরণ রে, তুঁহু মম শ্যাম সমান! মেঘ বরণ তুঝ, মেঘ জটাজুট রক্ত কমল কর.......'।<br /><br />রবীন্দ্রনাথ ঠাকুর তার বিভিন্ন রচনার ক্ষেত্রে অনেকগুলো ছদ্মনাম ব্যবহার করেছেন।<br />উল্লেখযোগ্য কয়েকটি হলো -<br />- ভানুসিংহ ঠাকুর,<br />- অকপটচন্দ্র ভাস্কর,<br />- আন্নাকালী পাকড়াশী,<br />- দিকশূণ্য ভট্টাচার্য,<br />- নবীন কিশোর শর্মন,<br />- ষষ্ঠীচরণ দেবশর্মা,<br />- বানীবিনোদ বিদ্যাবিনোদ,<br />- শ্রীমতি কনিষ্ঠা,<br />- শ্রীমতি মধ্যমা<br /><br />সূত্র: বাংলা ভাষা ও সাহিত্য জিজ্ঞাসা- ড. সৌমিত্র শেখর এবং বাংলাপিডিয়া।",1,True,2022-12-19 05:48:00.186174+00:00,2022-12-21 17:58:41.519530+00:00
220130,4662,"নিম্নের কোনটি রবীন্দ্রনাথ ঠাকুর রচিত গীতিনাট্য? ",,"খ) রক্তকরবী ",গ) তাসের দেশ,"ঘ) বসন্ত ",,4,"&bull; রবীন্দ্রনাথ ঠাকুর রচিত 'বসন্ত' গীতনাট্য।<br />- নাটকটি প্রকাশিত হয় ১৯২৩ খ্রিষ্টাব্দে।&nbsp;<br />- এই নাটকের বিষয় যৌবনের প্রতীক ঋতুরাজ বসন্তের জয়গান।&nbsp;<br />- রবীন্দ্রনাথ এই গ্রন্থটি কাজী নজরুল ইসলামকে উৎসর্গটকরেন।<br /><br />&bull;&nbsp;অন্যদিকে, <br />রবীন্দ্রনাথ ঠাকুর রচিত রূপক নাটক 'তাসের দেশ'<br />রবীন্দ্রনাথ ঠাকুর রচিত 'রক্তকরবী' সাংকেতিক নাটক।<br />রবীন্দ্রনাথ ঠাকুর রচিত 'ডাকঘর' রূপক সাংকেতিক নাটক।<br /><br />উৎস: বাংলা ভাষা ও সাহিত্য জিজ্ঞাসা, ড. সৌমিত্র শেখর।",1,True,2022-12-20 12:00:43.093638+00:00,2022-12-24 17:55:37.578334+00:00
220136,4662,"""আমাদের গেছে যে দিন<br />একেবারেই কি গেছে,<br />কিছুই কি নেই বাকি""- বিখ্যাত পঙ্‌ক্তিটি কোন কবিতার অন্তর্গত? ","ক) শেষ লেখা ",খ) হঠাৎ দেখা,"গ) আকাশ প্রদীপ ","ঘ) শেষ সপ্তক ",,2,"&bull; আলোচ্য পঙক্তি টি রবীন্দ্রনাথের 'শ্যামলী' কাব্যগ্রন্থের 'হঠাৎ দেখা' কবিতার অন্তর্গত।&nbsp;<br />- রবীন্দ্রনাথ ঠাকুরের 'শ্যামলী' কাব্যগ্রন্থটি ১৯৩৬ সালে প্রকাশিত হয়।&nbsp;<br />- এটি মোট বাইশটি কবিতার সংকলন।&nbsp;<br />- এগুলো গদ্য কবিতার বিশেষ উদাহরণ।&nbsp;<br />- 'পুনশ্চ' কাব্যগ্রন্থের সঙ্গে এর মিল আছে।&nbsp;<br />- 'আমারই চেতনার রঙ্গে পান্না হলো সবুজ', 'বাঁশিওয়ালা', 'হঠাৎ দেখা' প্রভৃতি পরিচিত পঙক্তি বা কবিতাগুলো এ কাব্যগ্রন্থের অন্তর্ভুক্ত।&nbsp;<br /><br />হঠাৎ দেখা<br />&ndash; রবীন্দ্রনাথ ঠাকুর<br />রেলগাড়ির কামরায় হঠাৎ দেখা,<br />ভাবি নি সম্ভব হবে কোনোদিন।<br /><br />আগে ওকে বারবার দেখেছি<br />লালরঙের শাড়িতে<br />দালিম ফুলের মতো রাঙা;<br />আজ পরেছে কালো রেশমের কাপড়,<br />আঁচল তুলেছে মাথায়<br />দোলনচাঁপার মতো চিকনগৌর মুখখানি ঘিরে।<br />মনে হল, কালো রঙে একটা গভীর দূরত্ব<br />ঘনিয়ে নিয়েছে নিজের চার দিকে,<br />যে দূরত্ব সর্ষেখেতের শেষ সীমানায়<br />শালবনের নীলাঞ্জনে।<br />থমকে গেল আমার সমস্ত মনটা;<br />চেনা লোককে দেখলেম অচেনার গাম্ভীর্যে।<br /><br />হঠাৎ খবরের কাগজ ফেলে দিয়ে<br />আমাকে করলে নমস্কার।<br />সমাজবিধির পথ গেল খুলে,<br />আলাপ করলেম শুরু &mdash;<br />কেমন আছ, কেমন চলছে সংসার<br />ইত্যাদি।<br /><br />সে রইল জানলার বাইরের দিকে চেয়ে<br />যেন কাছের দিনের ছোঁয়াচ-পার-হওয়া চাহনিতে।<br />দিলে অত্যন্ত ছোটো দুটো-একটা জবাব,<br />কোনোটা বা দিলেই না।<br />বুঝিয়ে দিলে হাতের অস্থিরতায় &mdash;<br />কেন এ-সব কথা,<br />এর চেয়ে অনেক ভালো চুপ করে থাকা।<br /><br />আমি ছিলেম অন্য বেঞ্চিতে<br />ওর সাথিদের সঙ্গে।<br />এক সময়ে আঙুল নেড়ে জানালে কাছে আসতে।<br />মনে হল কম সাহস নয়;<br />বসলুম ওর এক-বেঞ্চিতে।<br />গাড়ির আওয়াজের আড়ালে<br />বললে মৃদুস্বরে,<br />&ldquo;কিছু মনে কোরো না,<br />সময় কোথা সময় নষ্ট করবার।<br />আমাকে নামতে হবে পরের স্টেশনেই;<br />দূরে যাবে তুমি,<br />দেখা হবে না আর কোনোদিনই।<br />তাই যে প্রশ্নটার জবাব এতকাল থেমে আছে,<br />শুনব তোমার মুখে।<br />সত্য করে বলবে তো?<br /><br />আমি বললেম, &ldquo;বলব।&rdquo;<br />বাইরের আকাশের দিকে তাকিয়েই শুধোল,<br /><strong>আমাদের গেছে যে দিন</strong><br /><strong>একেবারেই কি গেছে,</strong><br /><strong>কিছুই কি নেই বাকি। </strong>(সংক্ষিপ্ত)<br /><br />উৎস: বাংলা ভাষা ও সাহিত্য জিজ্ঞাসা, ড. সৌমিত্র শেখর।",1,True,2022-12-20 12:11:31.077357+00:00,2022-12-24 17:55:37.458941+00:00
220466,4025,‘গোরা’ উপন্যাসের রচয়িতা কে?,ক) শরৎচন্দ্র চট্টোপাধ্যায়,খ) কাজী নজরুল ইসলাম,গ) রবীন্দ্রনাথ ঠাকুর,ঘ) সুকান্ত ভট্টাচার্য,,3,"&bull; &lsquo;গেরা&rsquo; (১৯১০) উপন্যাসটি <strong>রবীন্দ্রনাথ ঠাকুরের</strong> বৃহত্তম এবং অনেকের মতে সর্বশ্রেষ্ঠ উপন্যাস।<br />- &lsquo;প্রবাসী&rsquo; পত্রিকায় ১৯০৮ থেকে ১৯১০ সাল পর্যন্ত ধারাবাহিকভাবে প্রকাশিত হয়।<br />- ঊনবিংশ শতাব্দির শেষভাগের ধর্মান্দোলন, স্বদেশপ্রেম এবং নারীমুক্তি চিন্তার পটভূমিকায় এই আখ্যান গড়ে উঠেছে।<br />- এই উপন্যাসের নায়ক গোরা সিপাহি বিপ্লবের সময় নিহত এক আইরিশ দম্পতির সন্তান। কিন্তু সে বড় হয় হিন্দু ব্রাহ্মণ কৃষ্ণদয়াল ও আনন্দময়ীর ঘরে।<br />- এই উপন্যাসটির উল্লেখযোগ্য চরিত্র: গোরা, পরেশবাবু, সুচরিতা, ললিতা, বিনয়, বরদাসুন্দরী।<br /><br />উৎস: বাংলা ভাষা ও সাহিত্য জিজ্ঞাসা, ড. সৌমিত্র শেখর।",1,True,2022-12-22 05:09:46.933316+00:00,2022-12-24 17:55:27.593484+00:00
220905,4647,কবি বুদ্ধদেব বসু রবীন্দ্রনাথ ঠাকুরের কোন কাব্যগ্রন্থকে রবীন্দ্র-কাব্যের অনুবিশ্ব বলেছেন,ক) বলাকা,খ) পুনশ্চ,গ) মানসী,ঘ) পূরবী,,3,"রবীন্দ্রনাথ ঠাকুর (১৮৬১-১৯৪১):<br />- তিনি বাংলা সাহিত্যের ছোট গল্পের জনক। তাঁকে বাংলা ভাষার সর্বশ্রেষ্ঠ সাহিত্যিক মনে করা হয়।<br /><br />তাঁর রচিত ""মানসী"" কাব্যগ্রন্থটি ১৮৯০ সালে প্রকাশিত এবং গ্রন্থটি কবির কাব্যকলার পূর্ণ প্রতিষ্ঠামূলক কাব্যগ্রন্থ।<br />- তাই কবি বুদ্ধদেব বসু<strong> ""মানসী"" কাব্যকে রবীন্দ্র-কাব্যের অনুবিশ্ব বলেছেন</strong>।<br />- এই কাব্যগ্রন্থে মোট ৬৬টি কবিতা রয়েছে।<br /><br />উল্লেখযোগ্য কবিতা -<br />- উপহার<br />- নিস্ফল উপহার<br />- ক্ষণিক মিলন<br />- নিস্ফল কামনা<br />- অহল্যার প্রতি<br />- নবদম্পতির প্রেমালাপ<br />- মানসিক অভিসার<br />- পুরুষের উক্তি<br />- নারীর উক্তি<br />- ব্যক্ত প্রেম<br />- গুপ্ত প্রেম<br />- অনন্ত প্রেম<br />- শেষ উপহার ইত্যাদি।<br /><br />উৎস: মানসী কাব্যগ্রন্থ এবং বাংলা ভাষা ও সাহিত্য জিজ্ঞাসা, সৌমিত্র শেখর।",1,True,2022-12-24 06:11:29.991954+00:00,2022-12-26 17:51:09.215299+00:00
221444,4575,"'হৈমন্তী' গল্পে 'হৈমন্তী'র ডাকনাম ছিলো- ","ক) অপু ",খ) শিশির,"গ) দিপু ","ঘ) আশালতা ",,2,"&bull; &lsquo;হৈমন্তী&rsquo; রবীন্দ্রনাথ ঠাকুর রচিত একটি ছোট গল্প।<br />- 'হৈমন্তী' গল্পে 'হৈমন্তী'র ডাকনাম ছিলো<strong> শিশির।</strong>&nbsp;<br />- 'হৈমন্তী' ছোটগল্প টি মাসিক সবুজপত্র পত্রিকায় প্রথম প্রকাশিত হয়।<br />- এটি রবীন্দ্রনাথের সমাজসমস্যামূলক ছোটগল্পগুলির মধ্যে অন্যতম।<br />- উল্লেখযোগ্য চরিত্র- হৈমন্তী (শিশির), গৌরীশংকর, অপু, বনমালী প্রমুখ।&nbsp;<br /><br />&bull; গল্পের আরও কিছু বিখ্যাত উক্তি-<br />- জ্যৈষ্ঠের খররোদ্রই তো জ্যৈষ্ঠের অশ্রুশূণ্য রোদন। - আমি পাইলাম ইহাকে পাইলাম।<br />- সে আমার সম্পত্তি নয়, সে আমার সম্পদ। ইত্যাদি।<br /><br />&bull; রবীন্দ্রনাথের কাব্যগ্রন্থ হলো:<br />- বনফুল<br />- মানসী<br />- চিত্রা<br /><br />উৎস: হৈমন্তী, রবীন্দ্রনাথ ঠাকুর।",1,True,2022-12-25 11:42:42.441860+00:00,2024-05-17 11:26:28.607345+00:00
221451,4575,"রবীন্দ্রনাথ ঠাকুরের 'চোখের বালি' উপন্যাসের চরিত্র- ","ক) আমিত, লাবণ্য, আশালতা","খ) আদিত্য, সরলা, মহেন্দ্র,","গ) মহেন্দ্র, আশালতা, বিনোদিনী","ঘ) কুমুদিনী, বিনোদিনী, মধুসূদন",,3,"মহেন্দ্র, আশালতা, বিনোদিনী রবীন্দ্রনাথ ঠাকুরের 'চোখের বালি' উপন্যাসের চরিত্র।&nbsp;<br />- 'চোখের বালি' রবীন্দ্রনাথ ঠাকুরের প্রথম মনস্তাত্ত্বিক উপন্যাস।&nbsp;<br />- উপন্যাসটি প্রকাশিত হয় ১৯০৩ সালে।&nbsp;<br /><br />- 'শেষের কবিতা' উপন্যাসের চরিত্র = আমিত, লাবণ্য, কেতকী প্রমুখ।&nbsp;<br />- 'মালঞ্চ' উপন্যাসের চরিত্র = নীরজা, আদিত্য, সরলা প্রমুখ।&nbsp;<br />- 'যোগাযোগ' উপন্যাসের চরিত্র = কুমুদিনী, মধুসূদন প্রমুখ।<br />----------------<br /><br />রবীন্দ্রনাথ ঠাকুরের উপন্যাস বাংলা ভাষায় তার অন্যতম জনপ্রিয় সাহিত্যকর্ম।<br />- ১৮৮৩ থেকে ১৯৩৪ সালের মধ্যে রবীন্দ্রনাথ মোট তেরোটি উপন্যাস রচনা করেছিলেন।<br />রবীন্দ্রনাথ ঠাকুরের উপন্যাস-&nbsp;<br />- করুণা<br />- বৌ-ঠাকুরাণীর হাট<br />- রাজর্ষি<br />- চোখের বালি<br />- নৌকাডুবি<br />- প্রজাপতির নির্বন্ধ<br />- গোরা<br />- ঘরে বাইরে<br />- চতুরঙ্গ<br />- যোগাযোগ<br />- শেষের কবিতা<br />- মালঞ্চ<br />- চার অধ্যায়<br /><br />উৎস: বাংলা ভাষা ও সাহিত্য জিজ্ঞাসা, ড. সৌমিত্র শেখর এবং বাংলাপিডিয়া।",1,True,2022-12-25 11:57:04.226699+00:00,2022-12-27 17:55:00.922974+00:00
